DEPARTAMENTO,PROVINCIA,SEXO,rango_edad,mes_fallecimiento,cantidad_fallecidos,nivel_intensidad
AMAZONAS,NO REGISTRADO,MASCULINO,75+,5,3,MEDIO
AMAZONAS,RODRIGUEZ DE MENDOZA,FEMENINO,18-29,7,1,BAJO
AMAZONAS,RODRIGUEZ DE MENDOZA,MASCULINO,30-44,6,1,BAJO
AMAZONAS,RODRIGUEZ DE MENDOZA,MASCULINO,45-59,6,1,BAJO
AMAZONAS,UTCUBAMBA,FEMENINO,30-44,5,1,BAJO
AMAZONAS,UTCUBAMBA,FEMENINO,45-59,5,1,BAJO
AMAZONAS,UTCUBAMBA,FEMENINO,45-59,7,1,BAJO
AMAZONAS,UTCUBAMBA,FEMENINO,45-59,8,1,BAJO
AMAZONAS,UTCUBAMBA,FEMENINO,60-74,6,2,MEDIO
AMAZONAS,UTCUBAMBA,FEMENINO,60-74,8,2,MEDIO
AMAZONAS,UTCUBAMBA,FEMENINO,75+,5,2,MEDIO
AMAZONAS,UTCUBAMBA,FEMENINO,75+,6,2,MEDIO
AMAZONAS,UTCUBAMBA,FEMENINO,75+,7,1,BAJO
AMAZONAS,UTCUBAMBA,MASCULINO,18-29,6,1,BAJO
AMAZONAS,UTCUBAMBA,MASCULINO,30-44,5,1,BAJO
AMAZONAS,UTCUBAMBA,MASCULINO,30-44,6,1,BAJO
AMAZONAS,UTCUBAMBA,MASCULINO,30-44,7,1,BAJO
AMAZONAS,UTCUBAMBA,MASCULINO,45-59,5,2,MEDIO
AMAZONAS,UTCUBAMBA,MASCULINO,45-59,6,6,ALTO
AMAZONAS,UTCUBAMBA,MASCULINO,45-59,7,1,BAJO
AMAZONAS,UTCUBAMBA,MASCULINO,60-74,5,2,MEDIO
AMAZONAS,UTCUBAMBA,MASCULINO,60-74,6,10,ALTO
AMAZONAS,UTCUBAMBA,MASCULINO,60-74,7,4,ALTO
AMAZONAS,UTCUBAMBA,MASCULINO,60-74,8,1,BAJO
AMAZONAS,UTCUBAMBA,MASCULINO,75+,5,4,ALTO
AMAZONAS,UTCUBAMBA,MASCULINO,75+,6,7,ALTO
ANCASH,AIJA,FEMENINO,60-74,7,1,BAJO
ANCASH,AIJA,MASCULINO,60-74,6,1,BAJO
ANCASH,BOLOGNESI,FEMENINO,45-59,7,1,BAJO
ANCASH,BOLOGNESI,MASCULINO,30-44,7,1,BAJO
ANCASH,BOLOGNESI,MASCULINO,60-74,8,1,BAJO
ANCASH,CARHUAZ,FEMENINO,45-59,7,1,BAJO
ANCASH,CARHUAZ,FEMENINO,60-74,4,1,BAJO
ANCASH,CARHUAZ,FEMENINO,60-74,5,1,BAJO
ANCASH,CARHUAZ,FEMENINO,75+,6,1,BAJO
ANCASH,CARHUAZ,FEMENINO,75+,7,1,BAJO
ANCASH,CARHUAZ,MASCULINO,45-59,7,2,MEDIO
ANCASH,CARHUAZ,MASCULINO,60-74,6,2,MEDIO
ANCASH,CARLOS FERMIN FITZCARRALD,MASCULINO,75+,6,1,BAJO
ANCASH,CASMA,FEMENINO,18-29,5,1,BAJO
ANCASH,CASMA,FEMENINO,45-59,6,3,MEDIO
ANCASH,CASMA,FEMENINO,60-74,4,1,BAJO
ANCASH,CASMA,FEMENINO,60-74,6,5,ALTO
ANCASH,CASMA,FEMENINO,75+,5,1,BAJO
ANCASH,CASMA,FEMENINO,75+,6,5,ALTO
ANCASH,CASMA,FEMENINO,75+,7,3,MEDIO
ANCASH,CASMA,FEMENINO,75+,8,2,MEDIO
ANCASH,CASMA,MASCULINO,30-44,8,1,BAJO
ANCASH,CASMA,MASCULINO,45-59,4,1,BAJO
ANCASH,CASMA,MASCULINO,45-59,5,3,MEDIO
ANCASH,CASMA,MASCULINO,45-59,6,2,MEDIO
ANCASH,CASMA,MASCULINO,45-59,7,2,MEDIO
ANCASH,CASMA,MASCULINO,60-74,4,1,BAJO
ANCASH,CASMA,MASCULINO,60-74,5,2,MEDIO
ANCASH,CASMA,MASCULINO,60-74,6,8,ALTO
ANCASH,CASMA,MASCULINO,60-74,7,2,MEDIO
ANCASH,CASMA,MASCULINO,75+,4,2,MEDIO
ANCASH,CASMA,MASCULINO,75+,5,1,BAJO
ANCASH,CASMA,MASCULINO,75+,6,2,MEDIO
ANCASH,CASMA,MASCULINO,75+,7,6,ALTO
ANCASH,CORONGO,MASCULINO,60-74,8,1,BAJO
ANCASH,HUARAZ,FEMENINO,18-29,5,1,BAJO
ANCASH,HUARAZ,FEMENINO,30-44,4,1,BAJO
ANCASH,HUARAZ,FEMENINO,45-59,6,1,BAJO
ANCASH,HUARAZ,FEMENINO,45-59,7,3,MEDIO
ANCASH,HUARAZ,FEMENINO,45-59,8,3,MEDIO
ANCASH,HUARAZ,FEMENINO,60-74,5,1,BAJO
ANCASH,HUARAZ,FEMENINO,60-74,6,6,ALTO
ANCASH,HUARAZ,FEMENINO,60-74,7,6,ALTO
ANCASH,HUARAZ,FEMENINO,60-74,8,3,MEDIO
ANCASH,HUARAZ,FEMENINO,75+,6,8,ALTO
ANCASH,HUARAZ,FEMENINO,75+,7,5,ALTO
ANCASH,HUARAZ,FEMENINO,75+,8,1,BAJO
ANCASH,HUARAZ,MASCULINO,30-44,6,5,ALTO
ANCASH,HUARAZ,MASCULINO,30-44,7,3,MEDIO
ANCASH,HUARAZ,MASCULINO,30-44,8,1,BAJO
ANCASH,HUARAZ,MASCULINO,45-59,4,1,BAJO
ANCASH,HUARAZ,MASCULINO,45-59,5,1,BAJO
ANCASH,HUARAZ,MASCULINO,45-59,6,8,ALTO
ANCASH,HUARAZ,MASCULINO,45-59,7,8,ALTO
ANCASH,HUARAZ,MASCULINO,45-59,8,1,BAJO
ANCASH,HUARAZ,MASCULINO,60-74,4,2,MEDIO
ANCASH,HUARAZ,MASCULINO,60-74,5,2,MEDIO
ANCASH,HUARAZ,MASCULINO,60-74,6,16,ALTO
ANCASH,HUARAZ,MASCULINO,60-74,7,4,ALTO
ANCASH,HUARAZ,MASCULINO,60-74,8,9,ALTO
ANCASH,HUARAZ,MASCULINO,75+,5,1,BAJO
ANCASH,HUARAZ,MASCULINO,75+,6,5,ALTO
ANCASH,HUARAZ,MASCULINO,75+,7,13,ALTO
ANCASH,HUARAZ,MASCULINO,75+,8,6,ALTO
ANCASH,HUARI,FEMENINO,60-74,6,2,MEDIO
ANCASH,HUARI,FEMENINO,60-74,8,2,MEDIO
ANCASH,HUARI,MASCULINO,30-44,7,1,BAJO
ANCASH,HUARI,MASCULINO,45-59,5,1,BAJO
ANCASH,HUARI,MASCULINO,45-59,6,2,MEDIO
ANCASH,HUARI,MASCULINO,45-59,8,1,BAJO
ANCASH,HUARI,MASCULINO,60-74,6,1,BAJO
ANCASH,HUARI,MASCULINO,60-74,7,2,MEDIO
ANCASH,HUARMEY,FEMENINO,60-74,6,1,BAJO
ANCASH,HUARMEY,FEMENINO,60-74,7,1,BAJO
ANCASH,HUARMEY,FEMENINO,60-74,8,3,MEDIO
ANCASH,HUARMEY,FEMENINO,75+,8,1,BAJO
ANCASH,HUARMEY,MASCULINO,45-59,4,1,BAJO
ANCASH,HUARMEY,MASCULINO,45-59,7,1,BAJO
ANCASH,HUARMEY,MASCULINO,45-59,8,1,BAJO
ANCASH,HUARMEY,MASCULINO,60-74,4,1,BAJO
ANCASH,HUARMEY,MASCULINO,60-74,6,1,BAJO
ANCASH,HUARMEY,MASCULINO,60-74,8,1,BAJO
ANCASH,HUARMEY,MASCULINO,75+,6,2,MEDIO
ANCASH,HUARMEY,MASCULINO,75+,7,2,MEDIO
ANCASH,HUAYLAS,FEMENINO,45-59,8,2,MEDIO
ANCASH,HUAYLAS,FEMENINO,60-74,7,1,BAJO
ANCASH,HUAYLAS,FEMENINO,60-74,8,2,MEDIO
ANCASH,HUAYLAS,FEMENINO,75+,6,1,BAJO
ANCASH,HUAYLAS,FEMENINO,75+,7,1,BAJO
ANCASH,HUAYLAS,FEMENINO,75+,8,1,BAJO
ANCASH,HUAYLAS,MASCULINO,30-44,6,2,MEDIO
ANCASH,HUAYLAS,MASCULINO,45-59,5,1,BAJO
ANCASH,HUAYLAS,MASCULINO,60-74,7,1,BAJO
ANCASH,HUAYLAS,MASCULINO,60-74,8,2,MEDIO
ANCASH,HUAYLAS,MASCULINO,75+,5,2,MEDIO
ANCASH,HUAYLAS,MASCULINO,75+,6,1,BAJO
ANCASH,MARISCAL LUZURIAGA,FEMENINO,75+,5,1,BAJO
ANCASH,MARISCAL LUZURIAGA,MASCULINO,75+,7,2,MEDIO
ANCASH,NO REGISTRADO,FEMENINO,30-44,4,1,BAJO
ANCASH,NO REGISTRADO,FEMENINO,30-44,5,3,MEDIO
ANCASH,NO REGISTRADO,FEMENINO,45-59,5,5,ALTO
ANCASH,NO REGISTRADO,FEMENINO,60-74,4,2,MEDIO
ANCASH,NO REGISTRADO,FEMENINO,60-74,5,19,ALTO
ANCASH,NO REGISTRADO,FEMENINO,75+,5,10,ALTO
ANCASH,NO REGISTRADO,MASCULINO,30-44,5,8,ALTO
ANCASH,NO REGISTRADO,MASCULINO,45-59,5,23,ALTO
ANCASH,NO REGISTRADO,MASCULINO,60-74,4,1,BAJO
ANCASH,NO REGISTRADO,MASCULINO,60-74,5,40,ALTO
ANCASH,NO REGISTRADO,MASCULINO,75+,4,1,BAJO
ANCASH,NO REGISTRADO,MASCULINO,75+,5,31,ALTO
ANCASH,OCROS,FEMENINO,30-44,5,1,BAJO
ANCASH,OCROS,FEMENINO,75+,7,1,BAJO
ANCASH,OCROS,MASCULINO,75+,7,1,BAJO
ANCASH,PALLASCA,FEMENINO,60-74,5,1,BAJO
ANCASH,PALLASCA,MASCULINO,30-44,6,1,BAJO
ANCASH,PALLASCA,MASCULINO,60-74,6,2,MEDIO
ANCASH,PALLASCA,MASCULINO,60-74,7,1,BAJO
ANCASH,PALLASCA,MASCULINO,75+,7,1,BAJO
ANCASH,POMABAMBA,FEMENINO,60-74,6,1,BAJO
ANCASH,POMABAMBA,FEMENINO,60-74,8,1,BAJO
ANCASH,POMABAMBA,MASCULINO,60-74,6,1,BAJO
ANCASH,POMABAMBA,MASCULINO,75+,6,2,MEDIO
ANCASH,RECUAY,FEMENINO,30-44,6,1,BAJO
ANCASH,RECUAY,FEMENINO,75+,8,2,MEDIO
ANCASH,RECUAY,MASCULINO,45-59,6,1,BAJO
ANCASH,RECUAY,MASCULINO,45-59,7,1,BAJO
ANCASH,RECUAY,MASCULINO,60-74,7,1,BAJO
ANCASH,RECUAY,MASCULINO,60-74,8,1,BAJO
ANCASH,SANTA,FEMENINO,30-44,5,2,MEDIO
ANCASH,SANTA,FEMENINO,30-44,6,2,MEDIO
ANCASH,SANTA,FEMENINO,30-44,7,3,MEDIO
ANCASH,SANTA,FEMENINO,30-44,8,1,BAJO
ANCASH,SANTA,FEMENINO,45-59,4,2,MEDIO
ANCASH,SANTA,FEMENINO,45-59,5,7,ALTO
ANCASH,SANTA,FEMENINO,45-59,6,13,ALTO
ANCASH,SANTA,FEMENINO,45-59,7,8,ALTO
ANCASH,SANTA,FEMENINO,45-59,8,2,MEDIO
ANCASH,SANTA,FEMENINO,60-74,3,1,BAJO
ANCASH,SANTA,FEMENINO,60-74,4,9,ALTO
ANCASH,SANTA,FEMENINO,60-74,5,22,ALTO
ANCASH,SANTA,FEMENINO,60-74,6,36,ALTO
ANCASH,SANTA,FEMENINO,60-74,7,15,ALTO
ANCASH,SANTA,FEMENINO,60-74,8,2,MEDIO
ANCASH,SANTA,FEMENINO,75+,4,10,ALTO
ANCASH,SANTA,FEMENINO,75+,5,15,ALTO
ANCASH,SANTA,FEMENINO,75+,6,33,ALTO
ANCASH,SANTA,FEMENINO,75+,7,10,ALTO
ANCASH,SANTA,FEMENINO,75+,8,7,ALTO
ANCASH,SANTA,MASCULINO,0-17,8,1,BAJO
ANCASH,SANTA,MASCULINO,18-29,7,1,BAJO
ANCASH,SANTA,MASCULINO,30-44,4,6,ALTO
ANCASH,SANTA,MASCULINO,30-44,5,4,ALTO
ANCASH,SANTA,MASCULINO,30-44,6,8,ALTO
ANCASH,SANTA,MASCULINO,30-44,7,3,MEDIO
ANCASH,SANTA,MASCULINO,30-44,8,6,ALTO
ANCASH,SANTA,MASCULINO,45-59,4,11,ALTO
ANCASH,SANTA,MASCULINO,45-59,5,21,ALTO
ANCASH,SANTA,MASCULINO,45-59,6,55,ALTO
ANCASH,SANTA,MASCULINO,45-59,7,16,ALTO
ANCASH,SANTA,MASCULINO,45-59,8,7,ALTO
ANCASH,SANTA,MASCULINO,60-74,4,28,ALTO
ANCASH,SANTA,MASCULINO,60-74,5,48,ALTO
ANCASH,SANTA,MASCULINO,60-74,6,93,ALTO
ANCASH,SANTA,MASCULINO,60-74,7,30,ALTO
ANCASH,SANTA,MASCULINO,60-74,8,16,ALTO
ANCASH,SANTA,MASCULINO,75+,4,8,ALTO
ANCASH,SANTA,MASCULINO,75+,5,23,ALTO
ANCASH,SANTA,MASCULINO,75+,6,58,ALTO
ANCASH,SANTA,MASCULINO,75+,7,31,ALTO
ANCASH,SANTA,MASCULINO,75+,8,16,ALTO
ANCASH,SIHUAS,FEMENINO,45-59,5,1,BAJO
ANCASH,SIHUAS,FEMENINO,75+,7,1,BAJO
ANCASH,SIHUAS,MASCULINO,60-74,4,1,BAJO
ANCASH,SIHUAS,MASCULINO,60-74,5,1,BAJO
ANCASH,YUNGAY,FEMENINO,45-59,5,1,BAJO
ANCASH,YUNGAY,FEMENINO,75+,7,1,BAJO
ANCASH,YUNGAY,FEMENINO,75+,8,1,BAJO
ANCASH,YUNGAY,MASCULINO,30-44,8,1,BAJO
ANCASH,YUNGAY,MASCULINO,60-74,6,1,BAJO
ANCASH,YUNGAY,MASCULINO,60-74,8,2,MEDIO
APURIMAC,ABANCAY,FEMENINO,18-29,8,1,BAJO
APURIMAC,ABANCAY,FEMENINO,30-44,8,1,BAJO
APURIMAC,ABANCAY,FEMENINO,45-59,6,1,BAJO
APURIMAC,ABANCAY,FEMENINO,45-59,8,1,BAJO
APURIMAC,ABANCAY,FEMENINO,60-74,5,1,BAJO
APURIMAC,ABANCAY,FEMENINO,60-74,6,1,BAJO
APURIMAC,ABANCAY,FEMENINO,60-74,7,1,BAJO
APURIMAC,ABANCAY,FEMENINO,60-74,8,1,BAJO
APURIMAC,ABANCAY,FEMENINO,75+,6,1,BAJO
APURIMAC,ABANCAY,FEMENINO,75+,8,2,MEDIO
APURIMAC,ABANCAY,MASCULINO,45-59,8,1,BAJO
APURIMAC,ABANCAY,MASCULINO,60-74,6,1,BAJO
APURIMAC,ABANCAY,MASCULINO,60-74,7,2,MEDIO
APURIMAC,ABANCAY,MASCULINO,60-74,8,1,BAJO
APURIMAC,ABANCAY,MASCULINO,75+,6,2,MEDIO
APURIMAC,ABANCAY,MASCULINO,75+,7,3,MEDIO
APURIMAC,ABANCAY,MASCULINO,75+,8,2,MEDIO
APURIMAC,ANDAHUAYLAS,FEMENINO,0-17,7,1,BAJO
APURIMAC,ANDAHUAYLAS,FEMENINO,45-59,5,1,BAJO
APURIMAC,ANDAHUAYLAS,FEMENINO,45-59,6,1,BAJO
APURIMAC,ANDAHUAYLAS,FEMENINO,45-59,7,1,BAJO
APURIMAC,ANDAHUAYLAS,FEMENINO,60-74,6,1,BAJO
APURIMAC,ANDAHUAYLAS,FEMENINO,75+,6,2,MEDIO
APURIMAC,ANDAHUAYLAS,FEMENINO,75+,7,2,MEDIO
APURIMAC,ANDAHUAYLAS,MASCULINO,18-29,7,1,BAJO
APURIMAC,ANDAHUAYLAS,MASCULINO,45-59,7,1,BAJO
APURIMAC,ANDAHUAYLAS,MASCULINO,45-59,8,1,BAJO
APURIMAC,ANDAHUAYLAS,MASCULINO,60-74,6,3,MEDIO
APURIMAC,ANDAHUAYLAS,MASCULINO,60-74,7,1,BAJO
APURIMAC,ANDAHUAYLAS,MASCULINO,75+,5,1,BAJO
APURIMAC,ANDAHUAYLAS,MASCULINO,75+,6,1,BAJO
APURIMAC,ANDAHUAYLAS,MASCULINO,75+,7,1,BAJO
APURIMAC,ANTABAMBA,MASCULINO,60-74,8,2,MEDIO
APURIMAC,AYMARAES,FEMENINO,60-74,7,1,BAJO
APURIMAC,AYMARAES,FEMENINO,75+,7,1,BAJO
APURIMAC,AYMARAES,MASCULINO,30-44,7,1,BAJO
APURIMAC,AYMARAES,MASCULINO,45-59,7,1,BAJO
APURIMAC,AYMARAES,MASCULINO,60-74,8,1,BAJO
APURIMAC,CHINCHEROS,FEMENINO,45-59,5,1,BAJO
APURIMAC,CHINCHEROS,FEMENINO,60-74,7,1,BAJO
APURIMAC,CHINCHEROS,MASCULINO,75+,7,2,MEDIO
APURIMAC,COTABAMBAS,FEMENINO,45-59,6,1,BAJO
APURIMAC,COTABAMBAS,MASCULINO,60-74,6,1,BAJO
AREQUIPA,AREQUIPA,FEMENINO,0-17,4,1,BAJO
AREQUIPA,AREQUIPA,FEMENINO,0-17,6,1,BAJO
AREQUIPA,AREQUIPA,FEMENINO,18-29,8,1,BAJO
AREQUIPA,AREQUIPA,FEMENINO,30-44,6,4,ALTO
AREQUIPA,AREQUIPA,FEMENINO,30-44,7,6,ALTO
AREQUIPA,AREQUIPA,FEMENINO,30-44,8,1,BAJO
AREQUIPA,AREQUIPA,FEMENINO,45-59,5,2,MEDIO
AREQUIPA,AREQUIPA,FEMENINO,45-59,6,10,ALTO
AREQUIPA,AREQUIPA,FEMENINO,45-59,7,22,ALTO
AREQUIPA,AREQUIPA,FEMENINO,45-59,8,17,ALTO
AREQUIPA,AREQUIPA,FEMENINO,60-74,4,1,BAJO
AREQUIPA,AREQUIPA,FEMENINO,60-74,5,3,MEDIO
AREQUIPA,AREQUIPA,FEMENINO,60-74,6,24,ALTO
AREQUIPA,AREQUIPA,FEMENINO,60-74,7,53,ALTO
AREQUIPA,AREQUIPA,FEMENINO,60-74,8,31,ALTO
AREQUIPA,AREQUIPA,FEMENINO,75+,5,7,ALTO
AREQUIPA,AREQUIPA,FEMENINO,75+,6,25,ALTO
AREQUIPA,AREQUIPA,FEMENINO,75+,7,46,ALTO
AREQUIPA,AREQUIPA,FEMENINO,75+,8,19,ALTO
AREQUIPA,AREQUIPA,MASCULINO,0-17,7,1,BAJO
AREQUIPA,AREQUIPA,MASCULINO,18-29,6,2,MEDIO
AREQUIPA,AREQUIPA,MASCULINO,18-29,7,1,BAJO
AREQUIPA,AREQUIPA,MASCULINO,30-44,4,2,MEDIO
AREQUIPA,AREQUIPA,MASCULINO,30-44,5,1,BAJO
AREQUIPA,AREQUIPA,MASCULINO,30-44,6,8,ALTO
AREQUIPA,AREQUIPA,MASCULINO,30-44,7,11,ALTO
AREQUIPA,AREQUIPA,MASCULINO,30-44,8,4,ALTO
AREQUIPA,AREQUIPA,MASCULINO,45-59,4,2,MEDIO
AREQUIPA,AREQUIPA,MASCULINO,45-59,5,4,ALTO
AREQUIPA,AREQUIPA,MASCULINO,45-59,6,37,ALTO
AREQUIPA,AREQUIPA,MASCULINO,45-59,7,71,ALTO
AREQUIPA,AREQUIPA,MASCULINO,45-59,8,33,ALTO
AREQUIPA,AREQUIPA,MASCULINO,60-74,4,6,ALTO
AREQUIPA,AREQUIPA,MASCULINO,60-74,5,12,ALTO
AREQUIPA,AREQUIPA,MASCULINO,60-74,6,48,ALTO
AREQUIPA,AREQUIPA,MASCULINO,60-74,7,142,ALTO
AREQUIPA,AREQUIPA,MASCULINO,60-74,8,55,ALTO
AREQUIPA,AREQUIPA,MASCULINO,75+,3,1,BAJO
AREQUIPA,AREQUIPA,MASCULINO,75+,4,2,MEDIO
AREQUIPA,AREQUIPA,MASCULINO,75+,5,8,ALTO
AREQUIPA,AREQUIPA,MASCULINO,75+,6,43,ALTO
AREQUIPA,AREQUIPA,MASCULINO,75+,7,105,ALTO
AREQUIPA,AREQUIPA,MASCULINO,75+,8,58,ALTO
AREQUIPA,CAMANA,FEMENINO,45-59,7,1,BAJO
AREQUIPA,CAMANA,MASCULINO,45-59,4,1,BAJO
AREQUIPA,CAMANA,MASCULINO,45-59,7,3,MEDIO
AREQUIPA,CAMANA,MASCULINO,45-59,8,1,BAJO
AREQUIPA,CAMANA,MASCULINO,60-74,7,1,BAJO
AREQUIPA,CAMANA,MASCULINO,60-74,8,3,MEDIO
AREQUIPA,CAMANA,MASCULINO,75+,6,1,BAJO
AREQUIPA,CAMANA,MASCULINO,75+,7,1,BAJO
AREQUIPA,CAMANA,MASCULINO,75+,8,1,BAJO
AREQUIPA,CARAVELI,FEMENINO,45-59,7,1,BAJO
AREQUIPA,CARAVELI,FEMENINO,60-74,7,1,BAJO
AREQUIPA,CARAVELI,FEMENINO,75+,6,1,BAJO
AREQUIPA,CARAVELI,FEMENINO,75+,7,1,BAJO
AREQUIPA,CARAVELI,MASCULINO,45-59,8,1,BAJO
AREQUIPA,CARAVELI,MASCULINO,60-74,7,1,BAJO
AREQUIPA,CARAVELI,MASCULINO,75+,6,1,BAJO
AREQUIPA,CASTILLA,FEMENINO,60-74,7,1,BAJO
AREQUIPA,CASTILLA,FEMENINO,75+,8,2,MEDIO
AREQUIPA,CASTILLA,MASCULINO,60-74,8,1,BAJO
AREQUIPA,CASTILLA,MASCULINO,75+,7,3,MEDIO
AREQUIPA,CAYLLOMA,FEMENINO,45-59,7,1,BAJO
AREQUIPA,CAYLLOMA,FEMENINO,60-74,8,2,MEDIO
AREQUIPA,CAYLLOMA,FEMENINO,75+,7,1,BAJO
AREQUIPA,CAYLLOMA,FEMENINO,75+,8,2,MEDIO
AREQUIPA,CAYLLOMA,MASCULINO,45-59,3,1,BAJO
AREQUIPA,CAYLLOMA,MASCULINO,45-59,6,1,BAJO
AREQUIPA,CAYLLOMA,MASCULINO,45-59,7,3,MEDIO
AREQUIPA,CAYLLOMA,MASCULINO,45-59,8,4,ALTO
AREQUIPA,CAYLLOMA,MASCULINO,60-74,6,3,MEDIO
AREQUIPA,CAYLLOMA,MASCULINO,60-74,7,4,ALTO
AREQUIPA,CAYLLOMA,MASCULINO,60-74,8,3,MEDIO
AREQUIPA,CAYLLOMA,MASCULINO,75+,6,1,BAJO
AREQUIPA,CAYLLOMA,MASCULINO,75+,7,2,MEDIO
AREQUIPA,CAYLLOMA,MASCULINO,75+,8,2,MEDIO
AREQUIPA,ISLAY,FEMENINO,45-59,7,2,MEDIO
AREQUIPA,ISLAY,FEMENINO,45-59,8,1,BAJO
AREQUIPA,ISLAY,FEMENINO,60-74,6,1,BAJO
AREQUIPA,ISLAY,FEMENINO,75+,7,1,BAJO
AREQUIPA,ISLAY,FEMENINO,75+,8,3,MEDIO
AREQUIPA,ISLAY,MASCULINO,30-44,4,1,BAJO
AREQUIPA,ISLAY,MASCULINO,30-44,5,1,BAJO
AREQUIPA,ISLAY,MASCULINO,30-44,7,1,BAJO
AREQUIPA,ISLAY,MASCULINO,45-59,6,2,MEDIO
AREQUIPA,ISLAY,MASCULINO,45-59,7,1,BAJO
AREQUIPA,ISLAY,MASCULINO,45-59,8,1,BAJO
AREQUIPA,ISLAY,MASCULINO,60-74,6,2,MEDIO
AREQUIPA,ISLAY,MASCULINO,60-74,7,1,BAJO
AREQUIPA,ISLAY,MASCULINO,60-74,8,2,MEDIO
AREQUIPA,ISLAY,MASCULINO,75+,7,2,MEDIO
AREQUIPA,ISLAY,MASCULINO,75+,8,3,MEDIO
AREQUIPA,LA UNION,FEMENINO,45-59,8,1,BAJO
AREQUIPA,LA UNION,MASCULINO,60-74,8,1,BAJO
AREQUIPA,NO REGISTRADO,FEMENINO,75+,5,1,BAJO
AREQUIPA,NO REGISTRADO,MASCULINO,45-59,5,1,BAJO
AREQUIPA,NO REGISTRADO,MASCULINO,60-74,5,3,MEDIO
AREQUIPA,NO REGISTRADO,MASCULINO,75+,5,3,MEDIO
AYACUCHO,CANGALLO,FEMENINO,45-59,7,1,BAJO
AYACUCHO,CANGALLO,MASCULINO,60-74,6,1,BAJO
AYACUCHO,CANGALLO,MASCULINO,60-74,7,1,BAJO
AYACUCHO,CANGALLO,MASCULINO,75+,6,1,BAJO
AYACUCHO,CANGALLO,MASCULINO,75+,7,1,BAJO
AYACUCHO,HUAMANGA,FEMENINO,45-59,5,2,MEDIO
